slug,name,local_name,region,content_tier,priority,kind,lines,bytes,summary
rocher-des-doms,Rocher des Doms,Jardin du Rocher des Doms,avignon,TIER_B,WORTHWHILE,spot,50,3651,"아비뇽 교황궁 북쪽에 솟아오른 해발 58m 백색 석회암 바위산 정상 공원. 론(Rhône) 강의 장대한 물줄기, 생베네제 다리, 생앙드레 요새, 몽방투를 360도로 내려다보는 아비뇽 최고의 파노라마 전망대."
rotonde,Fontaine de la Rotonde,Fontaine de la Rotonde (Place du Général-de-Gaulle),aix,TIER_B,WORTHWHILE,spot,49,3323,"1860년 쿠르 미라보 서쪽 입구에 세워진 지름 41m의 거대한 기념비적 분수. 엑상(정의), 마르세유(상업), 아비뇽(예술)을 바라보는 3대 여신상과 8마리의 청동 사자가 지키는 엑상프로방스의 관문."
roussillon-sentier-des-ocres,Roussillon · Sentier des Ocres,Roussillon · Le Sentier des Ocres,luberon,TIER_A,MUST_SEE,spot,57,4879,17가지 타오르는 황토빛(Ochre) 절벽과 소나무 숲이 어우러진 뤼베롱에서 가장 이색적인 붉은 마을. 1억 년 지질학의 기적 '오커 트레일(Sentier des Ocres)'과 파스텔톤 가옥 골목.
sagrada-familia,Sagrada Família,Basílica de la Sagrada Família,barcelona,TIER_A,MUST_SEE,spot,75,6576,1882년에 시작해 아직 짓고 있는 가우디의 미완성 대표작이자 빛과 구조의 대성당.
saint-paul-de-mausole,Saint-Paul-de-Mausole,Monastère Saint-Paul de Mausole,avignon,TIER_A,MUST_SEE,spot,54,3917,"1889년 빈센트 반 고흐가 자진 입원하여 『별이 빛나는 밤』, 『붓꽃』 등 143점의 불후의 명작을 탄생시킨 11세기 로마네스크 수도원 요양원. 고흐의 복원된 병실과 평화로운 중세 수도원 회랑."
saint-paul-de-vence,Saint-Paul-de-Vence,Saint-Paul-de-Vence,aix,TIER_A,MUST_SEE,spot,56,4428,"샤갈이 20년 말년을 보내며 잠든 중세 성벽 요새 마을. 현대 미술의 성지 마그 재단 미술관(Fondation Maeght), 자코메티의 야외 안뜰, 미로의 미궁 조각 정원이 언덕 숲속에 어우러진 예술의 성소."
saint-remy-de-provence,Saint-Rémy-de-Provence,Saint-Rémy-de-Provence,avignon,TIER_A,MUST_SEE,spot,51,3830,16세기 예언가 노스트라다무스의 탄생지이자 반 고흐가 『별이 빛나는 밤』을 탄생시킨 알피유 북쪽 기슭의 세련된 문화 예술 소도시. 플라타너스 가로수 순환로와 우아한 18세기 분수 광장.
sant-pau-recinte-modernista,Sant Pau Recinte Modernista,Recinte Modernista de Sant Pau,barcelona,TIER_A,MUST_SEE,spot,67,6306,류이스 도메네크 이 몬타네르가 설계한 카탈루냐 모더니즘 최대 복합체이자 햇빛과 바람으로 치유하던 전원도시 병원.
theatre-antique-arles,Théâtre Antique d'Arles,Théâtre Antique d'Arles,avignon,TIER_B,WORTHWHILE,spot,59,4477,기원전 12년 아우구스투스 황제 치세에 지어진 1만 명 수용 규모의 고대 로마 극장. 사라진 거대한 무대 배경벽에서 홀로 살아남은 두 개의 대리석 기둥 '두 과부(Les Deux Veuves)'와 루브르 박물관 '아를의 비너스'의 원 출토지.
uzes,Uzès Place aux Herbes · 구시가지,Uzès (Place aux Herbes & Ville d'Art et d'Histoire),avignon,TIER_A,MUST_SEE,spot,60,4847,"프랑스 제1공작의 1,000년 공작성(Le Duché), 12세기 로마네스크 원형 피네스트렐 탑(Tour Fenestrelle), 석조 아케이드와 분수가 어우러진 에르브 광장(Place aux Herbes)의 우아한 예술과 역사의 도시."
versailles,Versailles,Château et domaine de Versailles,paris,TIER_A,MUST_SEE,spot,56,4882,"태양왕 루이 14세가 절대왕정의 영광을 과시하기 위해 축조한 유럽 바로크 궁전의 절대적 정점(유네스코 세계유산). 357개 거울이 빛나는 '거울의 방(Galerie des Glaces)', 800ha 프랑스식 대정원, 마리 앙투아네트의 촌락."
vieil-aix,Vieil Aix — 구시가지,Vieil Aix (Centre Ancien),aix,TIER_A,MUST_SEE,spot,65,6233,"로마 온천 도시 위에 17~18세기 프로방스 귀족 저택과 바로크 분수, 5세기 고대 세례당을 품은 생소뵈르 대성당이 어우러진 우아한 미로 구시가지."
vieux-lyon,Vieux Lyon · 트라불,Vieux Lyon & Les Traboules,lyon,TIER_A,MUST_SEE,spot,63,5191,15~16세기 번영했던 유럽 최대 규모의 르네상스 건축 지구이자 유네스코 세계유산. 건물과 안뜰을 관통해 미로처럼 이어진 리옹 고유의 비밀 통로 '트라불(Traboules)'과 생장 대성당.
vieux-nice,Vieux Nice,Vieux-Nice (Babazouk),nice,TIER_A,MUST_SEE,spot,56,4458,사보이 공국의 500년 통치 흔적이 남은 이탈리아 바로크풍 파스텔톤 건물과 미로 골목으로 이루어진 니스의 역사적 심장부.
vieux-port-marseille,Vieux-Port de Marseille,Vieux-Port de Marseille,aix,TIER_B,MUST_SEE,spot,53,4172,"기원전 600년 포카이아 그리스인들이 닻을 내린 2,600년 역사의 천연 항구. 노먼 포스터의 대형 거울 차양(L'Ombrière), 아침 어시장, 르 파니에와 뮈셈으로 이어지는 마르세유의 심장."
village-des-bories,Village des Bories,Village des Bories (Gordes),luberon,TIER_B,WORTHWHILE,spot,56,4336,시멘트나 모르타르 없이 납작한 석회암 조각만을 층층이 쌓아 올린 20여 채의 건식 석조(Dry-stone) 원추형 오두막 군락. 프로방스 농민들의 지혜가 담긴 야외 민속 건축 박물관.
