id,name,region,legacy_type,normalized_type,priority,content_tier,day_refs,has_dedicated_place_page,current_content_depth,rationale
notre-dame-de-la-garde,Notre-Dame de la Garde,aix,spot,architecture,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,"마르세유 최고봉 언덕 성당, 황금 성모상과 지중해 전경"
notre-dame-de-paris,Notre-Dame de Paris,paris,spot,architecture,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,"시테 섬의 고딕 걸작, 2024년 재개관 대성당"
onyar,Onyar 강변,girona,spot,viewpoint,MUST_SEE,TIER_B,,Y,FACTS_ONLY,오냐르 강변 파사드와 에펠 다리 조망 포인트
opera-bastille,opera-bastille,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
oppede-le-vieux,Oppède-le-Vieux,luberon,spot,historic_site,OPTIONAL,TIER_C,,Y,SHORT_DESCRIPTION,중세 유적과 폐허가 숲속에 남아있는 신비로운 옛 마을
palais-de-chaillot,palais-de-chaillot,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
palais-de-tokyo,palais-de-tokyo,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
palais-des-papes,Palais des Papes,avignon,spot,architecture,MUST_SEE,TIER_A,Day 20,Y,DEEP_GUIDE,14세기 아비뇽 유수의 교황청 요새 궁전
palais-garnier,palais-garnier,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
palais-royal,palais-royal,unknown,spot,spot,WORTHWHILE,TIER_B,"Day 30,Day 33",N,NONE,기본 분류 배정
palau-de-maricel,Palau de Maricel,barcelona,spot,architecture,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,"시체스 해안가 복합 궁전, 지중해 뷰와 예술 컬렉션"
pals,Pals,girona,spot,village,WORTHWHILE,TIER_B,Day 06,Y,MEDIUM_GUIDE,엠포르다 지역의 보존된 중세 석조 마을
pals-abeurador-parking,pals-abeurador-parking,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
parc-de-belleville,parc-de-belleville,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
parc-de-la-tete-d-or,Parc de la Tête d'Or,lyon,spot,nature,WORTHWHILE,TIER_B,Day 25,Y,SHORT_DESCRIPTION,"황금머리 호수 공원, 식물원, 온실과 장미원"
paris-gare-de-lyon,paris-gare-de-lyon,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
paris-stay-candidate,paris-stay-candidate,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
passeig-de-la-muralla,Passeig de la Muralla,girona,spot,viewpoint,MUST_SEE,TIER_A,,Y,DEEP_GUIDE,"지로나 중세 성벽길, 구시가지와 피레네 조망 뷰포인트"
peralada,Peralada,girona,spot,village,OPTIONAL,TIER_C,,Y,SHORT_DESCRIPTION,카스텔 페랄라다 성과 와인 카르멘 와이너리 마을
peratallada,Peratallada,girona,spot,village,WORTHWHILE,TIER_B,Day 06,Y,DEEP_GUIDE,바위 해자 성곽과 미로 골목이 살아있는 중세 마을
peratallada-baix-parking,peratallada-baix-parking,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
piscine-yves-blanc,piscine-yves-blanc,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
placa-del-rei-carrer-del-bisbe,placa-del-rei-carrer-del-bisbe,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-bellecour,place-bellecour,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-de-lenche,place-de-lenche,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-des-abbesses,place-des-abbesses,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-des-vosges,place-des-vosges,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-du-forum,place-du-forum,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-du-forum-arles,Place du Forum,avignon,spot,viewpoint,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,고흐 <밤의 카페 테라스> 배경 광장
place-du-trocadero,place-du-trocadero,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-richelme,place-richelme,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
place-richelme-place-des-precheurs,시장 — Place Richelme · Place des Prêcheurs,aix,spot,market,MUST_SEE,UTILITY,,Y,MEDIUM_GUIDE,플라타너스 그늘 아래 열리는 일일 청과·프로방스 시장
pont-du-gard,Pont du Gard,avignon,spot,historic_site,MUST_SEE,TIER_A,Day 21,Y,DEEP_GUIDE,세계 최고의 보존도를 자랑하는 3단 로마 수도교 유네스코 유산
pont-saint-benezet,Pont Saint-Bénézet,avignon,spot,historic_site,MUST_SEE,TIER_B,,Y,MEDIUM_GUIDE,론 강의 아비뇽 다리 유적과 역사
privacyRule,privacyRule,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
promenade-des-anglais,Promenade des Anglais,nice,spot,viewpoint,MUST_SEE,TIER_A,"Day 07,Day 11",Y,SHORT_DESCRIPTION,니스 해변의 상징적 7km 산책로 및 지중해 조망
quartier-mazarin,quartier-mazarin,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
restaurant-sevin,restaurant-sevin,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
rocher-des-doms,Rocher des Doms,avignon,spot,viewpoint,WORTHWHILE,TIER_B,Day 20,Y,FACTS_ONLY,"교황청 옆 언덕 정원, 론 강과 빌뇌브레자비뇽 조망"
rotonde,Rotonde,aix,spot,viewpoint,MUST_SEE,TIER_B,Day 12,Y,SHORT_DESCRIPTION,"로통드 분수대, 엑스 구시가지 진입 관문"
rotonde-aix,rotonde-aix,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
roussillon-parking-des-ocres,roussillon-parking-des-ocres,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
roussillon-sentier-des-ocres,Roussillon · Sentier des Ocres,luberon,spot,nature,MUST_SEE,TIER_A,Day 17,Y,DEEP_GUIDE,붉은 황토(Ochre) 절벽과 소나무 숲 산책로
rtm-lecar,rtm-lecar,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
rue-des-teinturiers,rue-des-teinturiers,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
sacre-coeur,sacre-coeur,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
sagrada-familia,Sagrada Família,barcelona,spot,architecture,MUST_SEE,TIER_A,Day 02,Y,DEEP_GUIDE,"가우디의 대표작, 바르셀로나 핵심 랜드마크, 심화 건축/예술 해설 필수"
saint-germain-des-pres,saint-germain-des-pres,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
saint-paul-de-mausole,Saint-Paul-de-Mausole,avignon,spot,historic_site,MUST_SEE,TIER_A,Day 12,Y,DEEP_GUIDE,반 고흐가 <별이 빛나는 밤>을 그린 수도원 정신병원
saint-paul-de-vence,Saint-Paul-de-Vence,aix,spot,village,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,"샤갈의 안식처, 성벽으로 둘러싸인 중세 예술가 마을"
saint-paul-parking-route-de-vence,saint-paul-parking-route-de-vence,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
saint-remy-de-provence,Saint-Rémy-de-Provence,avignon,spot,village,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,"노스트라다무스의 탄생지, 알피유 산맥 기슭의 프로방스 소도시"
sant-feliu-de-guixols,sant-feliu-de-guixols,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
sant-feliu-la-corxera-parking,sant-feliu-la-corxera-parking,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
sant-pau-recinte-modernista,Sant Pau Recinte Modernista,barcelona,spot,architecture,MUST_SEE,TIER_A,Day 02,Y,DEEP_GUIDE,"도메네크 이 몬타네르의 모더니즘 걸작 병원, 필수 관람지"
saone-rhone,saone-rhone,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
schemaVersion,schemaVersion,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
sitges,Sitges,barcelona,spot,village,WORTHWHILE,TIER_B,,Y,NONE,"바르셀로나 근교 예술가 해변 마을, Day 3 반일 투어 거점"
sitges-core-walk-2h30,sitges-core-walk-2h30,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
sourceOfTruth,sourceOfTruth,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
taxi-avignon,taxi-avignon,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
tcl,tcl,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
theatre-antique-arles,Théâtre antique,avignon,spot,historic_site,WORTHWHILE,TIER_B,Day 22,Y,SHORT_DESCRIPTION,고대 로마 극장 유적과 아를의 비너스 발굴지
tossa-de-mar,tossa-de-mar,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
tossa-parking-pelegri,tossa-parking-pelegri,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
travelPeriod,travelPeriod,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
uzes,Uzès Place aux Herbes·구시가지,avignon,spot,village,MUST_SEE,TIER_A,Day 21,Y,SHORT_DESCRIPTION,"프랑스 제1의 공작 도시, 에르브 광장 시장과 토요 마켓"
versailles,Versailles,paris,spot,architecture,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,"루이 14세의 절대왕정 궁전, 거울의 방과 정원, 트리아농"
vieux-lyon,Vieux Lyon · 트라불,lyon,spot,neighborhood,MUST_SEE,TIER_A,Day 24,Y,DEEP_GUIDE,"르네상스 건축 지구, 비밀 통로 트라불(Traboules), 부숑"
vieux-lyon-traboules,vieux-lyon-traboules,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
vieux-nice,Vieux Nice — 구시가지,nice,spot,neighborhood,MUST_SEE,TIER_A,Day 08,Y,SHORT_DESCRIPTION,"니스 구시가지의 바로크 성당, 골목길, 로컬 문화"
vieux-port-marseille,Vieux-Port,aix,spot,viewpoint,MUST_SEE,TIER_B,Day 14,Y,SHORT_DESCRIPTION,"마르세유 구항구, 아침 어시장 및 포스터 거울 차양"
village-des-bories,Village des Bories,luberon,spot,historic_site,WORTHWHILE,TIER_B,Day 18,Y,SHORT_DESCRIPTION,모르타르 없이 돌을 쌓아 올린 프로방스 고대 건식 석조 주거지
virgule-navette,virgule-navette,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
zbe-barcelona,zbe-barcelona,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
