day,segment_id,origin,destination,mode,expected_origin,expected_destination,map_status,card_status,endpoint_status,final_status
29,day-29-leg-04,saint-germain,notre-dame-compact,walk,Saint-Germain-des-Prés 지성미 도보,Notre-Dame de Paris & 시테 섬 (컴팩트 외관 조망),COMPLETE,COMPLETE,PASS_MATCH,PASS
29,day-29-leg-05,notre-dame-compact,paris-return,metro,Notre-Dame de Paris & 시테 섬 (컴팩트 외관 조망),15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
30,day-30-leg-01,morning-routine,orangerie,metro,Standard Home Morning (아침·운동·장보기·점심),Musée de l'Orangerie (오랑주리 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
30,day-30-leg-02,orangerie,tuileries-vendome,walk,Musée de l'Orangerie (오랑주리 미술관),Jardin des Tuileries & Place Vendôme,COMPLETE,COMPLETE,PASS_MATCH,PASS
30,day-30-leg-03,tuileries-vendome,palais-royal,walk,Jardin des Tuileries & Place Vendôme,Palais Royal (팔레 루아얄 안뜰 & 정원),COMPLETE,COMPLETE,PASS_MATCH,PASS
30,day-30-leg-04,palais-royal,opera-garnier-district,walk,Palais Royal (팔레 루아얄 안뜰 & 정원),Opéra Garnier 지구 외관 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
30,day-30-leg-05,opera-garnier-district,paris-return,metro,Opéra Garnier 지구 외관 산책,Bouillon Chartier Montparnasse 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
31,day-31-leg-01,morning-routine,gustave-moreau,metro,Boulangerie Pichard 아침 빵 조달 & 숙소 생활,Musée Gustave Moreau (귀스타브 모로 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
31,day-31-leg-02,gustave-moreau,opera-lunch,walk,Musée Gustave Moreau (귀스타브 모로 미술관),9구 누벨 아테네 / 오페라 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
31,day-31-leg-03,opera-lunch,fashion-week-marais,metro,9구 누벨 아테네 / 오페라 점심,Paris Fashion Week 개막 분위기 & Le Marais,COMPLETE,COMPLETE,PASS_MATCH,PASS
31,day-31-leg-04,fashion-week-marais,paris-return,metro,Paris Fashion Week 개막 분위기 & Le Marais,15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
32,day-32-leg-01,morning-routine,musee-d-orsay,metro,Art-Heavy Morning (빠른 아침·오르세 출발),Musée d'Orsay (오르세 미술관 3.5시간 집중 관람),COMPLETE,COMPLETE,PASS_MATCH,PASS
32,day-32-leg-02,musee-d-orsay,rue-du-bac-lunch,walk,Musée d'Orsay (오르세 미술관 3.5시간 집중 관람),7구 Rue du Bac 점심 식사,COMPLETE,COMPLETE,PASS_MATCH,PASS
32,day-32-leg-03,rue-du-bac-lunch,musee-rodin,walk,7구 Rue du Bac 점심 식사,Musée Rodin & 조각 정원 (로댕 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
32,day-32-leg-04,musee-rodin,invalides-exterior,walk,Musée Rodin & 조각 정원 (로댕 미술관),Les Invalides (앵발리드 황금 돔 외관 산책),COMPLETE,COMPLETE,PASS_MATCH,PASS
32,day-32-leg-05,invalides-exterior,paris-return,metro,Les Invalides (앵발리드 황금 돔 외관 산책),Café du Commerce 동네 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
33,day-33-leg-01,morning-routine,petit-palais,metro,Shortened Home Morning (아침·빠른 준비),Petit Palais (프티 팔레 파리 시립미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
33,day-33-leg-02,petit-palais,champs-elysees-lunch,walk,Petit Palais (프티 팔레 파리 시립미술관),샹젤리제 인근 비스트로 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
33,day-33-leg-03,champs-elysees-lunch,fashion-week-montaigne,walk,샹젤리제 인근 비스트로 점심,Paris Fashion Week 서부 축 & Palais de Tokyo,COMPLETE,COMPLETE,PASS_MATCH,PASS
33,day-33-leg-04,fashion-week-montaigne,paris-return,metro,Paris Fashion Week 서부 축 & Palais de Tokyo,15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
34,day-34-leg-01,versailles-transfer,versailles-palace,walk,15구 숙소 출발 ➔ RER C ➔ 베르사유 이동,Château de Versailles (베르사유 궁전 본관),COMPLETE,COMPLETE,PASS_MATCH,PASS
34,day-34-leg-02,versailles-palace,versailles-lunch,walk,Château de Versailles (베르사유 궁전 본관),베르사유 대운하 인근 점심 식사,COMPLETE,COMPLETE,PASS_MATCH,PASS
34,day-34-leg-03,versailles-lunch,versailles-gardens,walk,베르사유 대운하 인근 점심 식사,베르사유 프랑스식 대정원 & 분수 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
34,day-34-leg-04,versailles-gardens,trianon-hamlet,walk,베르사유 프랑스식 대정원 & 분수 산책,Grand Trianon & Petit Trianon & 왕비의 촌락,COMPLETE,COMPLETE,PASS_MATCH,PASS
34,day-34-leg-05,trianon-hamlet,paris-return,train,Grand Trianon & Petit Trianon & 왕비의 촌락,Le Grand Pan 15구 비스트로 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
35,day-35-leg-01,morning-routine,musee-du-louvre,metro,Boulangerie Pichard 잠봉 뵈르 샌드위치 & 아침,Musée du Louvre (루브르 박물관 4시간 집중 관람),COMPLETE,COMPLETE,PASS_MATCH,PASS
35,day-35-leg-02,musee-du-louvre,cour-carree-seine,walk,Musée du Louvre (루브르 박물관 4시간 집중 관람),Cour Carrée & 센 강변 일몰 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
35,day-35-leg-03,cour-carree-seine,paris-return,metro,Cour Carrée & 센 강변 일몰 산책,15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
36,day-36-leg-01,morning-routine,marmottan-monet,bus,Marché Convention 토요 장보기 & 아침 루틴,Musée Marmottan Monet (마르모탕 모네 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
36,day-36-leg-02,marmottan-monet,ranelagh-passy,walk,Musée Marmottan Monet (마르모탕 모네 미술관),Jardin du Ranelagh & Passy 역사지구 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
36,day-36-leg-03,ranelagh-passy,paris-return,metro,Jardin du Ranelagh & Passy 역사지구 산책,15구 조기 귀환 & 저녁 (익일 Arc 대회 휴식),COMPLETE,COMPLETE,PASS_MATCH,PASS
37,day-37-leg-01,longchamp-transfer,prix-de-l-arc,bus,15구 숙소 출발 ➔ 메트로/셔틀 ➔ ParisLongchamp,Qatar Prix de l'Arc de Triomphe (개선문상 본선),COMPLETE,COMPLETE,PASS_MATCH,PASS
37,day-37-leg-02,prix-de-l-arc,paris-return,bus,Qatar Prix de l'Arc de Triomphe (개선문상 본선),파리롱샹 ➔ 15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
38,day-38-leg-01,morning-routine,jacquemart-andre,metro,Boulangerie Pichard 브런치 빵 조달 & 세탁,Musée Jacquemart-André (자크마르-앙드레 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
38,day-38-leg-02,jacquemart-andre,parc-monceau,walk,Musée Jacquemart-André (자크마르-앙드레 미술관),Parc Monceau (몽소 공원 고즈넉한 산책),COMPLETE,COMPLETE,PASS_MATCH,PASS
38,day-38-leg-03,parc-monceau,paris-return,metro,Parc Monceau (몽소 공원 고즈넉한 산책),15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
39,day-39-leg-01,morning-routine,musee-picasso,metro,Standard Home Morning (아침·운동·장보기·점심),Musée Picasso Paris (국립 피카소 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
39,day-39-leg-02,musee-picasso,marais-walk-carnavalet,walk,Musée Picasso Paris (국립 피카소 미술관),마레 지구 골목 산책 ➔ 카르나발레 이동,COMPLETE,COMPLETE,PASS_MATCH,PASS
39,day-39-leg-03,marais-walk-carnavalet,musee-carnavalet,walk,마레 지구 골목 산책 ➔ 카르나발레 이동,Musée Carnavalet (카르나발레 파리 역사박물관),COMPLETE,COMPLETE,PASS_MATCH,PASS
39,day-39-leg-04,musee-carnavalet,place-des-vosges,walk,Musée Carnavalet (카르나발레 파리 역사박물관),Place des Vosges (보주 광장 & 아치 회랑),COMPLETE,COMPLETE,PASS_MATCH,PASS
39,day-39-leg-05,place-des-vosges,paris-return,metro,Place des Vosges (보주 광장 & 아치 회랑),15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
40,day-40-leg-01,morning-routine,bourse-de-commerce,metro,Shortened Home Morning (아침·빠른 준비),Bourse de Commerce — Pinault Collection,COMPLETE,COMPLETE,PASS_MATCH,PASS
40,day-40-leg-02,bourse-de-commerce,halles-lunch,walk,Bourse de Commerce — Pinault Collection,레 알 / 몽토르게이 점심 식사,COMPLETE,COMPLETE,PASS_MATCH,PASS
40,day-40-leg-03,halles-lunch,vendanges-montmartre,metro,레 알 / 몽토르게이 점심 식사,Fête des Vendanges de Montmartre (포도축제 & 몽마르트르),COMPLETE,COMPLETE,PASS_MATCH,PASS
40,day-40-leg-04,vendanges-montmartre,paris-return,metro,Fête des Vendanges de Montmartre (포도축제 & 몽마르트르),15구 숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
41,day-41-leg-01,morning-routine,musee-guimet,metro,Art-Heavy Morning (빠른 아침·기메 출발),Musée Guimet (국립 기메 동양박물관),COMPLETE,COMPLETE,PASS_MATCH,PASS
41,day-41-leg-02,musee-guimet,iena-lunch,walk,Musée Guimet (국립 기메 동양박물관),이에나 / 윌슨 대로변 점심 식사,COMPLETE,COMPLETE,PASS_MATCH,PASS
41,day-41-leg-03,iena-lunch,musee-art-moderne,walk,이에나 / 윌슨 대로변 점심 식사,Musée d'Art Moderne de Paris (MAM),COMPLETE,COMPLETE,PASS_MATCH,PASS
41,day-41-leg-04,musee-art-moderne,trocadero-sunset,walk,Musée d'Art Moderne de Paris (MAM),Place du Trocadéro ➔ 에펠탑 고별 일몰 조망,COMPLETE,COMPLETE,PASS_MATCH,PASS
41,day-41-leg-05,trocadero-sunset,farewell-dinner,metro,Place du Trocadéro ➔ 에펠탑 고별 일몰 조망,Le Grand Pan 파리 15박 고별 만찬,COMPLETE,COMPLETE,PASS_MATCH,PASS
42,day-42-leg-01,paris-packing-checkout,farewell-lunch,walk,15구 숙소 최종 짐 정리 & 체크아웃,Café du Commerce 15구 마지막 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
42,day-42-leg-02,farewell-lunch,cdg-transfer,taxi,Café du Commerce 15구 마지막 점심,15구 숙소 ➔ CDG 공항 터미널 1 이동,COMPLETE,COMPLETE,PASS_MATCH,PASS
42,day-42-leg-03,cdg-transfer,cdg-departure,walk,15구 숙소 ➔ CDG 공항 터미널 1 이동,CDG 공항 출국 수속 & OZ502 탑승,COMPLETE,COMPLETE,PASS_MATCH,PASS
43,day-43-leg-01,inflight,icn,flight,기내박 — OZ502 취침 및 수분 섭취,인천국제공항 제1여객터미널 도착 (ICN),COMPLETE,COMPLETE,PASS_MATCH,PASS
43,day-43-leg-02,icn,home,unconfirmed,인천국제공항 제1여객터미널 도착 (ICN),자택 귀환 & 43일 스페인-프랑스 대여정 공식 완결,COMPLETE,COMPLETE,PASS_MATCH,PASS
